source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,TXN Assets (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN AssetsCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN Liabilities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN LiabilitiesCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN StockholdersEquity (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-Q),2009-10-30,2009-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-02-14,2024-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN LongTermDebt (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN LongTermDebtNoncurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN LongTermDebtCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN DebtCurrent (10-Q),2011-11-04,2011-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN CommercialPaper (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN NetIncomeLoss (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN OperatingIncomeLoss (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN GrossProfit (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN IncomeTaxExpenseBenefit (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN EarningsPerShareBasic (10-K),2026-02-06,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN EarningsPerShareDiluted (10-K),2026-02-06,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN CommonStockSharesIssued (10-K),2026-02-06,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-06,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN ResearchAndDevelopmentExpense (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN ShareBasedCompensation (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN CostOfRevenue (10-K),2023-02-03,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN InventoryNet (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
SEC EDGAR companyfacts API,TXN AccountsReceivableNetCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TXN_facts_selected.json
