source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MSFT Assets (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT AssetsCurrent (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT Liabilities (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT LiabilitiesCurrent (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT StockholdersEquity (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT CashAndCashEquivalentsAtCarryingValue (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT LongTermDebt (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT LongTermDebtNoncurrent (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
SEC EDGAR companyfacts API,MSFT LongTermDebtCurrent (10-K),2026-07-29,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MSFT_facts_selected.json
