source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,LIN Assets (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN AssetsCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN Liabilities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN LiabilitiesCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN StockholdersEquity (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN LongTermDebt (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN LongTermDebtNoncurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN LongTermDebtCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN ShortTermBorrowings (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN CommercialPaper (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN NetIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN OperatingIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN InterestExpenseDebt (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
SEC EDGAR companyfacts API,LIN IncomeTaxExpenseBenefit (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LIN_facts_selected.json
