source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PANW Assets (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW AssetsCurrent (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW Liabilities (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW LiabilitiesCurrent (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW StockholdersEquity (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2023-09-01,2023-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW LongTermDebt (10-K),2023-09-01,2023-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW Revenues (10-K),2018-09-13,2018-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW NetIncomeLoss (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
SEC EDGAR companyfacts API,PANW OperatingIncomeLoss (10-K),2025-08-29,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PANW_facts_selected.json
