source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,LRCX Assets (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX AssetsCurrent (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX Liabilities (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX LiabilitiesCurrent (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX StockholdersEquity (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX LongTermDebt (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX LongTermDebtNoncurrent (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX LongTermDebtCurrent (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX DebtCurrent (10-K),2020-08-18,2020-06-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX Revenues (10-K),2011-08-19,2011-06-26,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
SEC EDGAR companyfacts API,LRCX NetIncomeLoss (10-K),2025-08-11,2025-06-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LRCX_facts_selected.json
