source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ADP Assets (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP AssetsCurrent (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP Liabilities (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP LiabilitiesCurrent (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP StockholdersEquity (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2021-08-04,2019-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP CashAndCashEquivalentsAtCarryingValue (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP LongTermDebt (10-K),2011-08-24,2011-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP LongTermDebtNoncurrent (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP LongTermDebtCurrent (10-K),2011-08-24,2011-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP DebtCurrent (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP ShortTermBorrowings (10-K),2021-08-04,2021-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP CommercialPaper (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP Revenues (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP NetIncomeLoss (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP GrossProfit (10-K),2020-08-05,2020-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP InterestExpense (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP IncomeTaxExpenseBenefit (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP EarningsPerShareBasic (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP EarningsPerShareDiluted (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
SEC EDGAR companyfacts API,ADP NetCashProvidedByUsedInOperatingActivities (10-K),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADP_facts_selected.json
