source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,BKNG Assets (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG AssetsCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG Liabilities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG LiabilitiesCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG StockholdersEquity (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2011-02-25,2010-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG LongTermDebt (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG LongTermDebtNoncurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG LongTermDebtCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG ShortTermBorrowings (10-Q),2017-05-09,2016-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG Revenues (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
SEC EDGAR companyfacts API,BKNG RevenueFromContractWithCustomerExcludingAssessedTax (10-Q),2019-11-07,2019-09-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKNG_facts_selected.json
