source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MU Assets (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU AssetsCurrent (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU Liabilities (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU LiabilitiesCurrent (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU StockholdersEquity (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2021-10-08,2021-09-02,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU CashAndCashEquivalentsAtCarryingValue (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU LongTermDebt (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU LongTermDebtNoncurrent (10-K),2012-10-29,2012-08-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU LongTermDebtCurrent (10-K),2012-10-29,2012-08-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU DebtCurrent (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU Revenues (10-K),2018-10-15,2018-08-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU NetIncomeLoss (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU OperatingIncomeLoss (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU GrossProfit (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU InterestExpense (10-K),2023-10-06,2023-08-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU IncomeTaxExpenseBenefit (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU EarningsPerShareBasic (10-K),2025-10-03,2025-08-28,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU EarningsPerShareDiluted (10-K),2025-10-03,2025-08-28,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU NetCashProvidedByUsedInOperatingActivities (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU NetCashProvidedByUsedInInvestingActivities (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU NetCashProvidedByUsedInFinancingActivities (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU DepreciationDepletionAndAmortization (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU CommonStockSharesOutstanding (10-K),2025-10-03,2025-08-28,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU CommonStockSharesIssued (10-K),2025-10-03,2025-08-28,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU WeightedAverageNumberOfSharesOutstandingBasic (10-K),2025-10-03,2025-08-28,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU ResearchAndDevelopmentExpense (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU ShareBasedCompensation (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU ContractWithCustomerLiabilityCurrent (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU ContractWithCustomerLiability (10-K),2025-10-03,2025-08-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
SEC EDGAR companyfacts API,MU RevenueRemainingPerformanceObligation (10-K),2020-10-19,2020-09-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MU_facts_selected.json
