source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CCEP Assets (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP AssetsCurrent (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP Liabilities (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP LiabilitiesCurrent (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP StockholdersEquity (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP CashAndCashEquivalentsAtCarryingValue (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP Revenues (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP RevenueFromContractWithCustomerExcludingAssessedTax (6-K),2018-08-09,2018-06-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP NetIncomeLoss (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP OperatingIncomeLoss (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP GrossProfit (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
SEC EDGAR companyfacts API,CCEP IncomeTaxExpenseBenefit (20-F),2026-03-13,2025-12-31,2026-08-06,EUR,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CCEP_facts_selected.json
