source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,FTNT Assets (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT AssetsCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT Liabilities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT LiabilitiesCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT StockholdersEquity (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-02-21,2024-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT LongTermDebt (10-Q),2021-08-02,2021-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT LongTermDebtNoncurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT LongTermDebtCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT NetIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
SEC EDGAR companyfacts API,FTNT OperatingIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FTNT_facts_selected.json
