source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ADI Assets (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI AssetsCurrent (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI LiabilitiesCurrent (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI StockholdersEquity (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI CashAndCashEquivalentsAtCarryingValue (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI LongTermDebt (10-Q),2023-08-23,2023-07-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI LongTermDebtNoncurrent (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI LongTermDebtCurrent (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI DebtCurrent (10-K),2022-11-22,2022-10-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI ShortTermBorrowings (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI CommercialPaper (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI Revenues (10-K),2018-11-27,2018-11-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
SEC EDGAR companyfacts API,ADI RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-11-25,2025-11-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADI_facts_selected.json
