source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PDD Assets (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD AssetsCurrent (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD Liabilities (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD LiabilitiesCurrent (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD StockholdersEquity (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD CashAndCashEquivalentsAtCarryingValue (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD RevenueFromContractWithCustomerExcludingAssessedTax (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD NetIncomeLoss (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD OperatingIncomeLoss (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD GrossProfit (20-F),2023-04-26,2022-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD InterestExpense (20-F),2024-04-25,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD IncomeTaxExpenseBenefit (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD EarningsPerShareBasic (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD EarningsPerShareDiluted (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD NetCashProvidedByUsedInOperatingActivities (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD NetCashProvidedByUsedInInvestingActivities (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD NetCashProvidedByUsedInFinancingActivities (20-F),2026-04-29,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
SEC EDGAR companyfacts API,PDD PaymentsToAcquirePropertyPlantAndEquipment (20-F),2021-04-30,2020-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PDD_facts_selected.json
