source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,GEHC Assets (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC AssetsCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC Liabilities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC LiabilitiesCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC StockholdersEquity (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC LongTermDebt (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
SEC EDGAR companyfacts API,GEHC LongTermDebtNoncurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GEHC_facts_selected.json
