source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,XEL Assets (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL AssetsCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL LiabilitiesCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL StockholdersEquity (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL CashAndCashEquivalentsAtCarryingValue (10-K),2021-02-17,2020-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL LongTermDebt (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL LongTermDebtNoncurrent (10-K),2011-02-28,2010-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL LongTermDebtCurrent (10-K),2017-02-24,2016-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL ShortTermBorrowings (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL Revenues (10-K),2019-02-22,2018-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
SEC EDGAR companyfacts API,XEL RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2019-02-22,2018-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/XEL_facts_selected.json
