source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CEG Assets (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG AssetsCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG Liabilities (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG LiabilitiesCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG StockholdersEquity (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG LongTermDebt (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG LongTermDebtNoncurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG LongTermDebtCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG ShortTermBorrowings (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG CommercialPaper (10-Q),2022-11-08,2022-09-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG Revenues (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG NetIncomeLoss (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG OperatingIncomeLoss (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG InterestExpense (10-K),2024-02-27,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG IncomeTaxExpenseBenefit (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG EarningsPerShareBasic (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG EarningsPerShareDiluted (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG CommonStockSharesOutstanding (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
SEC EDGAR companyfacts API,CEG WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CEG_facts_selected.json
