source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,KHC Assets (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC AssetsCurrent (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC Liabilities (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC LiabilitiesCurrent (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC StockholdersEquity (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC LongTermDebt (10-Q),2015-08-10,2015-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC ShortTermBorrowings (10-K),2024-02-15,2023-12-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC CommercialPaper (10-K),2022-02-17,2021-12-25,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC Revenues (8-K),2015-08-10,2014-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC NetIncomeLoss (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC OperatingIncomeLoss (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC GrossProfit (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC InterestExpense (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC IncomeTaxExpenseBenefit (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC EarningsPerShareBasic (10-K),2026-02-12,2025-12-27,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC EarningsPerShareDiluted (10-K),2026-02-12,2025-12-27,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
SEC EDGAR companyfacts API,KHC NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-12,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KHC_facts_selected.json
