source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AAPL Assets (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL AssetsCurrent (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL Liabilities (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL LiabilitiesCurrent (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL StockholdersEquity (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL CashAndCashEquivalentsAtCarryingValue (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL LongTermDebt (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL LongTermDebtNoncurrent (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL LongTermDebtCurrent (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL CommercialPaper (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL Revenues (10-K),2018-11-05,2018-09-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL NetIncomeLoss (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL OperatingIncomeLoss (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL GrossProfit (10-K),2025-10-31,2025-09-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL InterestExpense (10-K),2023-11-03,2023-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
SEC EDGAR companyfacts API,AAPL InterestExpenseDebt (10-K),2021-10-29,2021-09-25,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AAPL_facts_selected.json
