source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AMAT Assets (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT AssetsCurrent (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT Liabilities (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT LiabilitiesCurrent (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT StockholdersEquity (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2009-12-11,2009-10-25,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT CashAndCashEquivalentsAtCarryingValue (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT LongTermDebt (10-K),2020-12-11,2020-10-25,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT LongTermDebtNoncurrent (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT LongTermDebtCurrent (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT ShortTermBorrowings (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT Revenues (10-K),2019-12-13,2019-10-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT NetIncomeLoss (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT OperatingIncomeLoss (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT GrossProfit (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT InterestExpense (10-K),2023-12-15,2023-10-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT IncomeTaxExpenseBenefit (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT EarningsPerShareBasic (10-K),2025-12-12,2025-10-26,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT EarningsPerShareDiluted (10-K),2025-12-12,2025-10-26,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT NetCashProvidedByUsedInOperatingActivities (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT NetCashProvidedByUsedInInvestingActivities (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT NetCashProvidedByUsedInFinancingActivities (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT DepreciationDepletionAndAmortization (10-K),2022-12-16,2022-10-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-12-12,2025-10-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
SEC EDGAR companyfacts API,AMAT CommonStockSharesOutstanding (10-K),2025-12-12,2025-10-26,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMAT_facts_selected.json
