source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,WMT Assets (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT AssetsCurrent (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT LiabilitiesCurrent (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT StockholdersEquity (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT LongTermDebt (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT LongTermDebtNoncurrent (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT LongTermDebtCurrent (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT ShortTermBorrowings (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CommercialPaper (10-Q),2009-12-08,2009-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT Revenues (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT NetIncomeLoss (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT OperatingIncomeLoss (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT InterestExpenseDebt (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT IncomeTaxExpenseBenefit (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT EarningsPerShareBasic (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT EarningsPerShareDiluted (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT NetCashProvidedByUsedInOperatingActivities (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT NetCashProvidedByUsedInInvestingActivities (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT NetCashProvidedByUsedInFinancingActivities (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT DepreciationDepletionAndAmortization (10-K),2019-03-28,2019-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CommonStockSharesOutstanding (10-K),2012-03-27,2012-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CommonStockSharesIssued (10-K),2012-03-27,2012-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT CostOfRevenue (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT ContractWithCustomerLiability (10-K),2019-03-28,2019-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
SEC EDGAR companyfacts API,WMT InventoryNet (10-K),2026-03-13,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WMT_facts_selected.json
