source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,WBD Assets (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD AssetsCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD Liabilities (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD LiabilitiesCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD StockholdersEquity (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD LongTermDebt (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD LongTermDebtNoncurrent (10-Q),2022-04-26,2022-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD LongTermDebtCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD DebtCurrent (10-K),2011-02-18,2010-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD CommercialPaper (10-K),2018-02-28,2017-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD Revenues (10-K),2019-03-01,2018-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD NetIncomeLoss (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD OperatingIncomeLoss (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD InterestExpense (10-K),2024-02-23,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD InterestExpenseDebt (10-K),2018-02-28,2017-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
SEC EDGAR companyfacts API,WBD IncomeTaxExpenseBenefit (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WBD_facts_selected.json
