source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,COST Assets (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST AssetsCurrent (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST Liabilities (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST LiabilitiesCurrent (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST StockholdersEquity (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST CashAndCashEquivalentsAtCarryingValue (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST LongTermDebt (10-K),2021-10-06,2021-08-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST LongTermDebtNoncurrent (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST LongTermDebtCurrent (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST ShortTermBorrowings (10-K),2014-10-15,2013-09-01,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
SEC EDGAR companyfacts API,COST Revenues (10-K),2025-10-08,2025-08-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/COST_facts_selected.json
