source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,SHOP Assets (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP AssetsCurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP LiabilitiesCurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP StockholdersEquity (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP Revenues (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP RevenueFromContractWithCustomerExcludingAssessedTax (40-F),2024-02-13,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP NetIncomeLoss (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP OperatingIncomeLoss (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP GrossProfit (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP InterestExpense (40-F),2023-02-16,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP InterestExpenseDebt (40-F),2023-02-16,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP IncomeTaxExpenseBenefit (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP EarningsPerShareBasic (10-K),2026-02-11,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP EarningsPerShareDiluted (10-K),2026-02-11,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP DepreciationDepletionAndAmortization (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP CommonStockSharesOutstanding (20-F),2016-02-17,2015-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP CommonStockSharesIssued (20-F),2016-02-17,2015-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-11,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP ResearchAndDevelopmentExpense (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP SellingAndMarketingExpense (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP GeneralAndAdministrativeExpense (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP ContractWithCustomerLiabilityCurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP ContractWithCustomerLiability (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
SEC EDGAR companyfacts API,SHOP InventoryNet (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SHOP_facts_selected.json
