source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PYPL Assets (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL AssetsCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL Liabilities (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL LiabilitiesCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL StockholdersEquity (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2024-02-08,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL LongTermDebt (10-Q),2026-05-05,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL LongTermDebtNoncurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL DebtCurrent (10-K),2020-02-06,2019-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL Revenues (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2020-02-06,2019-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL NetIncomeLoss (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL OperatingIncomeLoss (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
SEC EDGAR companyfacts API,PYPL InterestExpense (10-K),2024-02-08,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PYPL_facts_selected.json
