source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Advertising),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Aerospace/Defense),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Air Transport),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Apparel),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Auto & Truck),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Auto Parts),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Bank (Money Center)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Banks (Regional)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Beverage (Alcoholic)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Beverage (Soft)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Broadcasting),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Brokerage & Investment Banking),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Building Materials),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Business & Consumer Services),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Cable TV),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Chemical (Basic)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Unlevered/levered beta by industry (Chemical (Diversified)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_betas.json
