source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CSX Assets (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX AssetsCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX Liabilities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX LiabilitiesCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX StockholdersEquity (10-Q),2009-07-15,2009-06-26,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX CashAndCashEquivalentsAtCarryingValue (10-K),2023-02-15,2022-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX LongTermDebt (10-K),2013-02-19,2012-12-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
SEC EDGAR companyfacts API,CSX Revenues (10-K),2011-02-18,2010-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSX_facts_selected.json
