id	domain	arena	artifact	cadence	outputs	documents	scenarios	challenges	failures	questions	sources	anchors
01	Investment Banking	board, special committee, fairness committee and sell-side deal team	board / fairness-book output pack	live deal: daily; watchlist: weekly	enterprise and equity value bridge|DCF and WACC range|trading and transaction multiple dispersion	quality of earnings|management projections|CIM and data-room index	revenue/margin miss|WACC and terminal-value expansion|multiple compression	EV-to-equity bridge reconciles|DCF terminal value share bounded|comps screening is reproducible	mixing announcement-date and unaffected-date prices|using seller projections without QoE challenge|double-counting synergies	What is the unaffected date and why?|Which bidders can actually finance at the headline price?|Where do QoE adjustments flow through EBITDA and debt capacity?	company reporting~monthly/quarterly~tie to filed or management financials|market data~daily~timestamp and security identifier	sec_fair_value
02	Corporate Finance	treasury, CFO staff, ALCO and board finance committee	liquidity and capital-allocation pack	weekly treasury; monthly ALCO; quarterly board	cash runway and minimum liquidity|debt maturity wall and refinancing need|WACC and hurdle rates	treasury policy|credit agreements and indentures|rating-agency reports	rate shocks and basis|revenue/margin downturn|working-capital draw	cash roll-forward balances|maturity ladder equals debt ledger|interest expense ties to debt schedule	netting restricted cash|assuming revolver availability without covenant test|ignoring trapped cash and tax leakage	What cash is actually fungible?|Which covenant becomes binding before headline leverage?|How much capacity survives a closed market?	cash and debt positions~daily/weekly~bank and trustee reconciliation|forecast~monthly~actual-to-forecast bridge	irrbb
03	Private Equity	deal team, operating partner, financing team, investment committee and LPAC	investment committee underwriting memo	weekly pre-close; monthly portfolio; quarterly IC	sponsor MOIC and IRR|debt paydown and covenant headroom|management equity waterfall	QoE and net working capital report|market / commercial diligence|debt term sheets and commitment papers	volume/price/mix miss|margin plan delay|working-capital leakage	sources equal uses|minimum cash never breached without explicit cure|debt tranches conserve	sizing leverage off adjusted EBITDA that lenders reject|ignoring seasonal revolver needs|using annual averages for monthly covenant troughs	What EBITDA add-backs survive lender diligence?|Where does the business need cash before it generates cash?|Which covenant is springing and when?	operating KPI pack~monthly~reported-to-underwritten bridge|debt balances~monthly~agent statement tie-out	occ_credit
04	Merchant Banking	principal investing committee, client coverage, financing partners and risk committee	principal-and-advisory conflicts pack	daily live transactions; weekly risk; monthly portfolio	risk-adjusted principal return|client economics and fee offsets|holdco / opco value and leakage	engagement letters|conflicts memorandum|financing and syndication papers	client loss / failed process|underwriting take-down|holdco leakage	principal and advisory cash flows separated|fees not double-counted in returns|legal-entity exposure reconciles	treating advisory fees as guaranteed|ignoring residual underwriting inventory|failing to allocate shared expenses	Who owns the paper if distribution fails?|Which economics are contractual versus relationship assumptions?|Where can holdco cash be trapped?	client pipeline~weekly~engagement status and probability|principal exposure~daily/weekly~legal-entity and concentration mapping	basel
05	Private Credit	origination, underwriting, portfolio management, workout and credit committee	credit approval memorandum	weekly watchlist; monthly portfolio; event-driven amendments	cash yield, OID and all-in return|fixed-charge and interest coverage|liquidity runway and revolver use	credit agreement and schedules|QoE and borrowing-base reports|sponsor model and lender case	EBITDA miss and add-back rejection|liquidity draw and revolver block|rate shock	debt cash schedule conserves|yield includes OID and fees|recovery cannot exceed collateral after costs	underwriting to sponsor EBITDA|ignoring builder baskets and incremental debt|assuming unrestricted cash is available	What add-backs are capped or time-limited?|Where can new money prime us?|What is the first liquidity date, not the maturity date?	borrower reporting~monthly/quarterly~covenant-definition normalization|agent notices~event-driven~principal, interest and amendment log	occ_credit,fasb_cecl
06	Debt Finance	issuer treasury, syndicate desk, rating agencies and board finance committee	financing alternatives and execution memo	daily during execution; monthly treasury	all-in cost and break-even|maturity and refinancing profile|ratings and covenant capacity	bank proposals and commitment letters|indentures / credit agreements|rating-agency feedback	base-rate and spread widening|failed syndication / flex|ratings downgrade	sources and uses balance|all-in yield includes fees and OID|maturity ladder equals debt ledger	quoting coupon instead of all-in cost|missing ticking fees and flex|assuming refinancing proceeds before conditions	Where is the break-even between fixed and floating?|What flex can arrangers exercise?|Which maturities cluster under the downside?	debt ledger~daily/weekly~principal and legal-entity reconciliation|curves and spreads~daily~timestamped executable levels	irrbb
07	Public Finance	debt management office, budget office, governing body, investors and rating agencies	debt-affordability and authorization package	monthly budget; quarterly debt; annual DSA	debt-to-revenue / GDP path|primary balance and debt-stabilizing balance|debt service coverage and reserves	official budget and CAFR/ACFR|debt policy and authorization|official statement	growth and revenue shock|rate / FX shock|primary-balance slippage	debt dynamics identity|coverage definition matches pledge|reserves exclude restricted funds	mixing cash and accrual bases|treating one-time transfers as recurring|ignoring overlapping debt and pensions	What revenues are legally pledged?|Which reserves are actually spendable?|What is the refinancing share over the next three years?	budget actuals~monthly/annual~fund and government-wide mapping|debt service~monthly/annual~CUSIP and legal-security tie	imf_dsa
12	Equity Finance	issuer board, ECM, shareholders, counsel and exchange	capital raise and dilution memo	daily during offering; quarterly cap table	gross and net proceeds|pro forma ownership and dilution|rights take-up / backstop need	registration statement / prospectus|underwriting agreement|shareholder register	discount and market break|rights under-subscription|convertible dilution	proceeds reconcile|ownership sums to 100%|dilution includes options and convertibles	using basic shares for valuation|ignoring greenshoe and warrants|treating convertibles as debt or equity in all cases	What is the real free float after locks?|Who is economically short through hedges?|What is the break price after fees?	share count~event-driven~basic, diluted and treasury-stock reconciliation|market price and volume~daily~unaffected and VWAP windows	sec_fair_value
13	Venture Capital	investment team, partnership IC, board and portfolio finance	investment and reserve-allocation memo	monthly portfolio; event-driven financings; quarterly IC	post-money ownership|SAFE / note conversion|preference and participation waterfall	charter and cap table|SAFE / note instruments|stock purchase agreement	down round|bridge with seniority|flat exit preference stack	waterfall conserves proceeds|share count reconciles|SAFE conversion follows instrument terms	mixing pre- and post-money SAFEs|ignoring accrued interest and discount interactions|double-counting option pool shuffle	Which security is actually senior?|Who can block the next financing?|What converts before the option-pool top-up?	cap table~event-driven~fully diluted share reconciliation|financing instruments~event-driven~conversion and seniority map	sec_fair_value
24	Distressed & Restructuring	debtor, creditor groups, advisors, court and new-money providers	13-week liquidity, recovery and plan-value pack	daily liquidity; weekly stakeholder; court-event driven	13-week liquidity and DIP need|enterprise / reorganization value|recovery by class	13-week cash flow and variance report|credit agreements and intercreditor documents|claims register	liquidity miss|vendor tightening|priming and adequate protection	weekly cash roll-forward balances|claims map equals capital structure|recoveries conserve distributable value	using EBITDA while cash burns|ignoring critical-vendor and professional fees|assuming par claims without disputes	What is the first day cash goes negative?|Which creditor is the fulcrum under each value case?|What collateral and priority actually support each claim?	cash receipts/disbursements~daily/weekly~bank and AP/AR reconciliation|claims and debt~event-driven~legal status and class mapping	occ_credit
