source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MNST Assets (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST AssetsCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST LiabilitiesCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST StockholdersEquity (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2011-03-01,2010-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST LongTermDebt (10-K),2026-02-27,2024-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST LongTermDebtNoncurrent (10-K),2026-02-27,2024-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST LongTermDebtCurrent (10-Q),2025-05-09,2025-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST OperatingIncomeLoss (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST GrossProfit (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST IncomeTaxExpenseBenefit (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST EarningsPerShareBasic (10-K),2011-03-01,2010-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST EarningsPerShareDiluted (10-K),2011-03-01,2010-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST DepreciationDepletionAndAmortization (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
SEC EDGAR companyfacts API,MNST CommonStockSharesOutstanding (10-K),2026-02-27,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MNST_facts_selected.json
