source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AMGN Assets (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN AssetsCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN LiabilitiesCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN StockholdersEquity (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN LongTermDebt (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN LongTermDebtNoncurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN LongTermDebtCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN DebtCurrent (10-Q),2017-10-26,2017-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN CommercialPaper (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN Revenues (10-K),2021-02-09,2020-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN NetIncomeLoss (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN OperatingIncomeLoss (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN GrossProfit (10-K),2021-02-09,2020-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN InterestExpenseDebt (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
SEC EDGAR companyfacts API,AMGN IncomeTaxExpenseBenefit (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMGN_facts_selected.json
